period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8
,,,,,,,,103.6050983
,,,,,,93.52402515,,
,,,,,,,,102.0197326
,,,,,,,96.52637153,
,,,,,,,,102.0197326
,,,,,88.90843302,,,
,,,,,,,,102.0197326
,,,,,,,96.52637153,
,,,,,,,,102.0197326
,,,,,,91.80036293,,
,,,,,,,,102.0197326
,,,,,,,96.52637153,
,,,,,,,,102.0197326
,,,,85.08367731,,,,
,,,,,,,,102.0197326
,,,,,,,96.52637153,
,,,,,,,,102.0197326
,,,,,,91.80036293,,
,,,,,,,,102.0197326
,,,,,,,96.52637153,
,,,,,,,,102.0197326
,,,,,87.77846973,,,
,,,,,,,,102.0197326
,,,,,,,96.52637153,
,,,,,,,,102.0197326
,,,,,,91.80036293,,
,,,,,,,,102.0197326
,,,,,,,96.52637153,
,,,,,,,,102.0197326
79.13640058,,,,,,,,
,,,,,,,,110.1914019
,,,,,,,104.2580287,
,,,,,,,,110.1914019
,,,,,,99.15347192,,
,,,,,,,,110.1914019
,,,,,,,104.2580287,
,,,,,,,,110.1914019
,,,,,94.79918065,,,
,,,,,,,,110.1914019
,,,,,,,104.2580287,
,,,,,,,,110.1914019
,,,,,,99.11938071,,
,,,,,,,,110.1914019
,,,,,,,104.1336246,
,,,,,,,,109.6914019
,,,,90.9930152,,,,
,,,,,,,,110.1914019
,,,,,,,104.2580287,
,,,,,,,,110.1914019
,,,,,,99.11938071,,
,,,,,,,,110.1914019
,,,,,,,104.1336246,
,,,,,,,,109.6914019
,,,,,94.42840035,,,
,,,,,,,,109.6357411
,,,,,,,103.607884,
,,,,,,,,109.1357411
,,,,,,97.96037296,,
,,,,,,,,107.5503754
,,,,,,,101.510403,
,,,,,,,,106.5503754
,,,86.58101309,,,,,
,,,,,,,,108.3775275
,,,,,,,102.5418243,
,,,,,,,,108.3775275
,,,,,,97.48720305,,
,,,,,,,,108.3775275
,,,,,,,102.4174202,
,,,,,,,,107.8775275
,,,,,92.45901266,,,
,,,,,,,,106.710545
,,,,,,,100.5913902,
,,,,,,,,105.210545
,,,,,,94.96865347,,
,,,,,,,,103.6251793
,,,,,,,98.04537129,
,,,,,,,,103.6251793
,,,,87.66809644,,,,
,,,,,,,,104.96714
,,,,,,,98.94186065,
,,,,,,,,103.46714
,,,,,,93.39988624,,
,,,,,,,,101.8817743
,,,,,,,96.39584177,
,,,,,,,,101.8817743
,,,,,88.78973279,,,
,,,,,,,,101.8817743
,,,,,,,96.39584177,
,,,,,,,,101.8817743
,,,,,,91.67622401,,
,,,,,,,,101.8817743
,,,,,,,96.39584177,
,,,,,,,,101.8817743
,,81.8326847,,,,,,
,,,,,,,,106.4957532
,,,,,,,100.7613761,
,,,,,,,,106.4957532
,,,,,,95.79392706,,
,,,,,,,,106.4957532
,,,,,,,100.6369721,
,,,,,,,,105.9957532
,,,,,90.83992129,,,
,,,,,,,,104.8287707
,,,,,,,98.81094201,
,,,,,,,,103.3287707
,,,,,,93.27537748,,
,,,,,,,,101.743405
,,,,,,,96.26492313,
,,,,,,,,101.743405
,,,,86.111946,,,,
,,,,,,,,103.0853657
,,,,,,,97.16141249,
,,,,,,,,101.5853657
,,,,,,91.70661025,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,87.17064143,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,82.08930652,,,,,
,,,,,,,,103.0853657
,,,,,,,97.16141249,
,,,,,,,,101.5853657
,,,,,,91.70661025,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,87.17064143,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
