period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,,
,,,,,,93.39988624,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,101.8817743,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.39584177,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,101.8817743,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,88.78973279,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,101.8817743,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.39584177,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,101.8817743,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,91.67622401,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,101.8817743,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,96.39584177,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,101.8817743,,
,,,,,,,,0,,
,,3310.24,,,,,,,,
,,81.8326847,,,,,,,,
,,0.006292384,,,,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,106.4957532,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,100.7613761,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,106.4957532,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,95.79392706,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,106.4957532,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,100.6369721,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,105.9957532,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,90.83992129,,,,,
,,,,,0.003168241,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,104.8287707,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,98.81094201,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,103.3287707,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,93.27537748,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,101.743405,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.26492313,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,101.743405,,
,,,,,,,,0,,
,,,,3310.24,,,,,,
,,,,86.111946,,,,,,
,,,,0.005140255,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,103.0853657,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,97.16141249,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,101.5853657,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,91.70661025,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,87.17064143,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,2972.509942,,,,,,,
,,,82.08930652,,,,,,,
,,,0.004209817,,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,103.0853657,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,97.16141249,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,101.5853657,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,91.70661025,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,87.17064143,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,2669.237081,,,,,,
,,,,83.41344102,,,,,,
,,,,0.001963091,,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2396.905893,,,,,
,,,,,86.04067813,,,,,
,,,,,0,,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2152.359526,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,1932.763211,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,1735.571396,,
,,,,,,,,100,,
,,,,,,,,0,,
,2972.509942,,,,,,,,,
,77.96098398,,,,,,,,,
,0.005411893,,,,,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,106.4957532,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,100.7613761,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,106.4957532,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,95.79392706,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,106.4957532,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,100.6369721,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,105.9957532,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,90.83992129,,,,,
,,,,,0.003168241,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,104.8287707,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,98.81094201,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,103.3287707,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,93.27537748,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,101.743405,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.26492313,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,101.743405,,
,,,,,,,,0,,
,,,,3310.24,,,,,,
,,,,86.111946,,,,,,
,,,,0.005140255,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,103.0853657,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,97.16141249,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,101.5853657,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,91.70661025,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,87.17064143,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,2972.509942,,,,,,,
,,,82.08930652,,,,,,,
,,,0.004209817,,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,103.0853657,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,97.16141249,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,101.5853657,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,91.70661025,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,87.17064143,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,2669.237081,,,,,,
,,,,83.41344102,,,,,,
,,,,0.001963091,,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2396.905893,,,,,
,,,,,86.04067813,,,,,
,,,,,0,,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2152.359526,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,1932.763211,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,1735.571396,,
,,,,,,,,100,,
,,,,,,,,0,,
,,2669.237081,,,,,,,,
,,78.36364523,,,,,,,,
,,0.003346347,,,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,103.0853657,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,97.16141249,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,101.5853657,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,91.70661025,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,87.17064143,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,2669.237081,,,,,,
,,,,83.41344102,,,,,,
,,,,0.001963091,,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2396.905893,,,,,
,,,,,86.04067813,,,,,
,,,,,0,,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2152.359526,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,1932.763211,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,1735.571396,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,2396.905893,,,,,,,
,,,80.16313592,,,,,,,
,,,0.001388197,,,,,,,
,,,,,,,,3310.24,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,2396.905893,,,,,
,,,,,86.04067813,,,,,
,,,,,0,,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2152.359526,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,1932.763211,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,1735.571396,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,2152.359526,,,,,,
,,,,82.69591339,,,,,,
,,,,0,,,,,,
,,,,,,,,2669.237081,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,2152.359526,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,1932.763211,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,1735.571396,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,1932.763211,,,,,
,,,,,86.04067813,,,,,
,,,,,0,,,,,
,,,,,,,,2152.359526,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,1932.763211,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,1735.571396,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,1735.571396,,,,
,,,,,,89.98294802,,,,
,,,,,,0,,,,
,,,,,,,,1735.571396,,
,,,,,,,,100,,
,,,,,,,,0,,
,,,,,,,1558.498245,,,
,,,,,,,94.61539361,,,
,,,,,,,0,,,
,,,,,,,,1399.491133,,
,,,,,,,,100,,
,,,,,,,,0,,
