Date,Open,High,Low,Close,Adj Close,Volume
2019-11-27,3145.48999,3154.26001,3143.409912,3153.629883,3153.629883,3033090000
2019-11-29,3147.179932,3150.300049,3139.340088,3140.97998,3140.97998,1743020000
2019-12-02,3143.850098,3144.310059,3110.780029,3113.870117,3113.870117,3268740000
2019-12-03,3087.409912,3094.969971,3070.330078,3093.199951,3093.199951,3653390000
2019-12-04,3103.5,3119.379883,3102.530029,3112.76001,3112.76001,3695030000
2019-12-05,3119.209961,3119.449951,3103.76001,3117.429932,3117.429932,3355750000
2019-12-06,3134.620117,3150.600098,3134.620117,3145.909912,3145.909912,3479480000
2019-12-09,3141.860107,3148.870117,3135.459961,3135.959961,3135.959961,3345990000
2019-12-10,3135.360107,3142.120117,3126.090088,3132.52002,3132.52002,3343790000
2019-12-11,3135.75,3143.97998,3133.209961,3141.629883,3141.629883,3252540000
2019-12-12,3141.22998,3176.280029,3138.469971,3168.570068,3168.570068,3990690000
2019-12-13,3166.649902,3182.679932,3156.51001,3168.800049,3168.800049,3736870000
2019-12-16,3183.629883,3197.709961,3183.629883,3191.449951,3191.449951,4051790000
2019-12-17,3195.399902,3198.219971,3191.030029,3192.52002,3192.52002,3837540000
2019-12-18,3195.209961,3198.47998,3191.139893,3191.139893,3191.139893,4014080000
2019-12-19,3192.320068,3205.47998,3192.320068,3205.370117,3205.370117,3720450000
2019-12-20,3223.330078,3225.649902,3216.030029,3221.219971,3221.219971,6454270000
2019-12-23,3226.050049,3227.780029,3222.300049,3224.01001,3224.01001,3060610000
2019-12-24,3225.449951,3226.429932,3220.51001,3223.379883,3223.379883,1296540000
2019-12-26,3227.199951,3240.080078,3227.199951,3239.909912,3239.909912,2160680000
2019-12-27,3247.22998,3247.929932,3234.370117,3240.02002,3240.02002,2428670000
2019-12-30,3240.090088,3240.919922,3216.570068,3221.290039,3221.290039,3013290000
2019-12-31,3215.179932,3231.719971,3212.030029,3230.780029,3230.780029,2893810000
2020-01-02,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3458250000
2020-01-03,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3461290000
2020-01-06,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3674070000
2020-01-07,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3420380000
2020-01-08,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3720890000
2020-01-09,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3638390000
2020-01-10,3281.810059,3282.98999,3260.860107,3265.350098,3265.350098,3212970000
2020-01-13,3271.129883,3288.129883,3268.429932,3288.129883,3288.129883,3456380000
2020-01-14,3285.350098,3294.25,3277.189941,3283.149902,3283.149902,3665130000
2020-01-15,3282.27002,3298.659912,3280.689941,3289.290039,3289.290039,3716840000
2020-01-16,3302.969971,3317.110107,3302.820068,3316.810059,3316.810059,3535080000
2020-01-17,3323.659912,3329.879883,3318.860107,3329.620117,3329.620117,3698170000
2020-01-21,3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4105340000
2020-01-22,3330.02002,3337.77002,3320.040039,3321.75,3321.75,3619850000
2020-01-23,3315.77002,3326.879883,3301.870117,3325.540039,3325.540039,3764860000
2020-01-24,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971,3707130000
2020-01-27,3247.159912,3258.850098,3234.5,3243.629883,3243.629883,3823100000
2020-01-28,3255.350098,3285.780029,3253.219971,3276.23999,3276.23999,3526720000
2020-01-29,3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3584500000
2020-01-30,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3787250000
2020-01-31,3282.330078,3282.330078,3214.679932,3225.52002,3225.52002,4527830000
2020-02-03,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3757910000
2020-02-04,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3995320000
2020-02-05,3324.909912,3337.580078,3313.75,3334.689941,3334.689941,4117730000
